3.7853 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
4.5389 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=488, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.5421 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.5450 	EXP 	Created imagination_instruction_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='imagination_instruction_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.5504 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Pause', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.5700 	EXP 	Created text_4 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=610, italic=False, name='text_4', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.5731 	EXP 	Created imagination_instruction_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='imagination_instruction_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.5759 	EXP 	Created text_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=61, italic=False, name='text_5', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.5904 	EXP 	TextStim: autoDraw = True
5.3895 	DATA 	Keypress: space
5.3898 	EXP 	Imported trails.csv as conditions, 2 conditions, 2 params
5.3900 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
5.4111 	EXP 	New trial (rep=0, index=0): {'trailText': u' Trail 1', 'trail': 1}
5.4304 	EXP 	TextStim: autoDraw = False
5.4304 	EXP 	Set text text= Trail 1
5.4304 	EXP 	TextStim: autoDraw = True
6.5294 	DATA 	Keypress: space
7.3907 	EXP 	Imported stimulus_conditions.csv as conditions, 4 conditions, 3 params
7.3909 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
7.3915 	EXP 	New trial (rep=0, index=0): {'bodyPart': u'left_hand', 'instruction': u' Left Hand', 'feedback': u' Left hand moved.'}
7.4104 	EXP 	TextStim: autoDraw = False
7.4104 	EXP 	Set imagination_instruction_2 text= Left Hand
7.4104 	EXP 	TextStim: autoDraw = True
7.9893 	DATA 	Keypress: escape
8.0155 	WARNING 	Data file, data/1_simple_imagined_movement_2014_jul_28_1545.csv, will be overwritten
