2.4889 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
18.6289 	EXP 	New trial (rep=0, index=3): {'bodyPart': u'left_hand', 'instruction': u' Left Hand', 'feedback': u' Left hand moved.'}
18.6487 	EXP 	TextStim: autoDraw = False
18.6487 	EXP 	Set imagination_instruction_2 text= Left Hand
18.6487 	EXP 	TextStim: autoDraw = True
22.6475 	EXP 	TextStim: autoDraw = False
22.6475 	EXP 	TextStim: autoDraw = True
27.6289 	EXP 	New trial (rep=0, index=1): {'trailText': u' Trail 2', 'trail': 2}
27.6475 	EXP 	TextStim: autoDraw = False
27.6475 	EXP 	Set text text= Trail 2
27.6475 	EXP 	TextStim: autoDraw = True
29.6278 	EXP 	Imported stimulus_conditions.csv as conditions, 4 conditions, 3 params
29.6280 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
29.6288 	EXP 	New trial (rep=0, index=0): {'bodyPart': u'left_foot', 'instruction': u' Left Foot', 'feedback': u' Left foot moved'}
29.6487 	EXP 	TextStim: autoDraw = False
29.6487 	EXP 	Set imagination_instruction_2 text= Left Foot
29.6487 	EXP 	TextStim: autoDraw = True
33.6289 	EXP 	New trial (rep=0, index=1): {'bodyPart': u'right_hand', 'instruction': u' Right Hand', 'feedback': u' Right hand moved.'}
33.6475 	EXP 	TextStim: autoDraw = False
33.6475 	EXP 	Set imagination_instruction_2 text= Right Hand
33.6475 	EXP 	TextStim: autoDraw = True
37.6289 	EXP 	New trial (rep=0, index=2): {'bodyPart': u'left_hand', 'instruction': u' Left Hand', 'feedback': u' Left hand moved.'}
37.6475 	EXP 	TextStim: autoDraw = False
37.6475 	EXP 	Set imagination_instruction_2 text= Left Hand
37.6475 	EXP 	TextStim: autoDraw = True
41.6289 	EXP 	New trial (rep=0, index=3): {'bodyPart': u'right_foot', 'instruction': u' Right Foot', 'feedback': u' Right foot moved.'}
41.6475 	EXP 	TextStim: autoDraw = False
41.6475 	EXP 	Set imagination_instruction_2 text= Right Foot
41.6475 	EXP 	TextStim: autoDraw = True
45.6487 	EXP 	TextStim: autoDraw = False
45.6487 	EXP 	TextStim: autoDraw = True
50.6487 	EXP 	TextStim: autoDraw = False
50.6487 	EXP 	TextStim: autoDraw = True
52.5688 	DATA 	Keypress: space
52.5691 	EXP 	Imported stimulus_conditions.csv as conditions, 4 conditions, 3 params
52.5693 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
52.5701 	EXP 	New trial (rep=0, index=0): {'bodyPart': u'left_hand', 'instruction': u' Left Hand', 'feedback': u' Left hand moved.'}
52.5875 	EXP 	TextStim: autoDraw = False
52.5875 	EXP 	Set imagination_instruction_2 text= Left Hand
52.5875 	EXP 	TextStim: autoDraw = True
56.5875 	EXP 	TextStim: autoDraw = False
56.5875 	EXP 	TextStim: autoDraw = False
56.5875 	EXP 	Set text_5 text=Feedback 0
56.5875 	EXP 	TextStim: autoDraw = True
58.5678 	EXP 	New trial (rep=0, index=1): {'bodyPart': u'right_foot', 'instruction': u' Right Foot', 'feedback': u' Right foot moved.'}
58.5888 	EXP 	TextStim: autoDraw = False
58.5888 	EXP 	TextStim: autoDraw = False
58.5888 	EXP 	Set imagination_instruction_2 text= Right Foot
58.5888 	EXP 	TextStim: autoDraw = True
62.5876 	EXP 	TextStim: autoDraw = False
62.5876 	EXP 	TextStim: autoDraw = False
62.5876 	EXP 	Set text_5 text=Feedback 1
62.5876 	EXP 	TextStim: autoDraw = True
64.5689 	EXP 	New trial (rep=0, index=2): {'bodyPart': u'left_foot', 'instruction': u' Left Foot', 'feedback': u' Left foot moved'}
64.5877 	EXP 	TextStim: autoDraw = False
64.5877 	EXP 	TextStim: autoDraw = False
64.5877 	EXP 	Set imagination_instruction_2 text= Left Foot
64.5877 	EXP 	TextStim: autoDraw = True
68.5878 	EXP 	TextStim: autoDraw = False
68.5878 	EXP 	TextStim: autoDraw = False
68.5878 	EXP 	Set text_5 text=Feedback 2
68.5878 	EXP 	TextStim: autoDraw = True
70.5717 	EXP 	New trial (rep=0, index=3): {'bodyPart': u'right_hand', 'instruction': u' Right Hand', 'feedback': u' Right hand moved.'}
70.5927 	EXP 	TextStim: autoDraw = False
70.5927 	EXP 	Set imagination_instruction_2 text= Right Hand
70.5927 	EXP 	TextStim: autoDraw = True
74.5915 	EXP 	TextStim: autoDraw = False
74.5915 	EXP 	Set text_5 text=Feedback 3
74.5915 	EXP 	TextStim: autoDraw = True
